nombre;description
alumnado;grupo alumnado
profesorado;grupo profesorado
1eso;grupo de 1ESO
2eso;grupo de 2ESO
3eso;grupo de 3ESO
4eso;grupo de 4ESO
1bach;grupo de 1BACH
2bach;grupo de 2BACH
1dam;grupo de 1DAM
1eso_r;lectura 1ESO
1eso_f;fullcontrol 1ESO
2eso_r;lectura 2ESO
2eso_f;fullcontrol 2ESO
3eso_r;lectura 3ESO
3eso_f;fullcontrol 3ESO
4eso_r;lectura 4ESO
4eso_f;fullcontrol 4ESO
1bach_r;lectura 1BACH
1bach_f;fullcontrol 1BACH
2bach_r;lectura 2BACH
2bach_f;fullcontrol 2BACH
1dam_r;lectura 1DAM
1dam_f;fullcontrol 1DAM
